From,Input,To
32,0,32
32,1,32
32,2,32
32,3,32
32,4,32
32,5,32
32,6,32
32,7,32
32,8,32
32,9,32
33,0,33
33,1,33
33,2,33
33,3,33
33,4,33
33,5,33
33,6,33
33,7,33
33,8,33
33,9,33
34,0,34
34,1,34
34,2,34
34,3,34
34,4,34
34,5,34
34,6,34
34,7,34
34,8,34
34,9,34
0,(,13
6,a,6
6,b,6
6,c,6
6,d,6
6,e,6
6,f,6
6,g,6
6,h,6
6,i,6
6,j,6
6,k,6
6,l,6
6,m,6
6,n,6
6,o,6
6,p,6
6,q,6
6,r,6
6,s,6
6,t,6
6,u,6
6,v,6
6,w,6
6,x,6
6,y,6
6,z,6
0,),14
3,s,4
0,f,11
0,=,7
27,u,28
6,0,32
6,1,32
6,2,32
6,3,32
6,4,32
6,5,32
6,6,32
6,7,32
6,8,32
6,9,32
0,;,21
32,a,6
32,b,6
32,c,6
32,d,6
32,e,6
32,f,6
32,g,6
32,h,6
32,i,6
32,j,6
32,k,6
32,l,6
32,m,6
32,n,6
32,o,6
32,p,6
32,q,6
32,r,6
32,s,6
32,t,6
32,u,6
32,v,6
32,w,6
32,x,6
32,y,6
32,z,6
0,",",23
0,},20
0,r,25
28,r,29
0,+,31
17,d,18
8,u,9
0,0,33
0,1,33
0,2,33
0,3,33
0,4,33
0,5,33
0,6,33
0,7,33
0,8,33
0,9,33
0,a,6
0,b,6
0,c,6
0,d,6
0,e,6
0,f,6
0,g,6
0,h,6
0,i,6
0,j,6
0,k,6
0,l,6
0,m,6
0,n,6
0,o,6
0,p,6
0,q,6
0,r,6
0,s,6
0,t,6
0,u,6
0,v,6
0,w,6
0,x,6
0,y,6
0,z,6
4,t,5
15,o,16
26,t,27
25,e,26
9,b,10
0,"""",24
2,n,3
0,{,19
16,i,17
0,c,1
0,.,22
1,o,2
11,n,12
29,n,30
33,.,34
0,p,8
0,v,15
